ProteinID_x,Description,SignalP,Cwpred,TMHMM,DeepLocPro,ProteinID_clean,ProteinID_y,Pfam,SignalP_score,Cwpred_score,TMHMM_score,DeepLoc_score,Pfam_score,raw_sum,available_max,score100
WP_002437604.1 MULTISPECIES_ multicopper oxidase family protein _Staphylococcus_,multicopper oxidase family protein ,SP,Globular protein,PredHel=1,Extracellular,WP_002437604.1,WP_002437604.1,PF07731;PF07732,16,6,6,16,0,44,100,44
WP_002437704.1 MULTISPECIES_ cysteine protease staphopain _Staphylococcus_,cysteine protease staphopain ,SP,Globular protein,PredHel=1,Extracellular,WP_002437704.1,WP_002437704.1,PF14731;PF05543,16,6,6,16,0,44,100,44
WP_002455929.1 MULTISPECIES_ sphingomyelin phosphodiesterase _Staphylococcus_,sphingomyelin phosphodiesterase ,SP,Globular protein,PredHel=1,Extracellular,WP_002455929.1,WP_002455929.1,PF03372,16,6,6,16,0,44,100,44
WP_002493319.1 MULTISPECIES_ copper resistance CopC family protein _Staphylococcus_,copper resistance CopC family protein ,SP,Globular protein,PredHel=1,Extracellular,WP_002493319.1,WP_002493319.1,PF04234,16,6,6,16,0,44,100,44
WP_025987120.1 MULTISPECIES_ YSIRK domain-containing triacylglycerol lipase GehD _Staphylococcus_,YSIRK domain-containing triacylglycerol lipase GehD ,SP,Globular protein,PredHel=1,Extracellular,WP_025987120.1,WP_025987120.1,PF04650,16,6,6,16,0,44,100,44
WP_080388512.1 hyperosmolarity resistance protein Ebh _Staphylococcus epidermidis_,hyperosmolarity resistance protein Ebh ,SP,Globular protein,PredHel=2,Cellwall_Surface,WP_080388512.1,WP_080388512.1,PF18938;PF04650;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF07554;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF01468;PF07564;PF07564;PF07564;PF07564;PF07564,16,6,0,20,0,42,100,42
WP_001829319.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,ABC transporter ATP-binding protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001829319.1,,,0,6,15,8,,29,70,41.42857143
WP_001829441.1 MULTISPECIES_ L-lactate dehydrogenase _quinone_ _Staphylococcus_,L-lactate dehydrogenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001829441.1,,,0,6,15,8,,29,70,41.42857143
WP_001829583.1 MULTISPECIES_ hypothetical protein _Bacillota_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001829583.1,,,0,6,15,8,,29,70,41.42857143
WP_001830513.1 MULTISPECIES_ betaine_proline_choline family ABC transporter ATP-binding protein _Staphylococcus_,betaine_proline_choline family ABC transporter ATP-binding protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001830513.1,,,0,6,15,8,,29,70,41.42857143
WP_001830872.1 MULTISPECIES_ lysophospholipid acyltransferase family protein _Staphylococcus_,lysophospholipid acyltransferase family protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001830872.1,,,0,6,15,8,,29,70,41.42857143
WP_001831134.1 MULTISPECIES_ ATP-binding cassette domain-containing protein _Staphylococcus_,ATP-binding cassette domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831134.1,,,0,6,15,8,,29,70,41.42857143
WP_001831231.1 MULTISPECIES_ SDR family NAD_P_-dependent oxidoreductase _Staphylococcus_,SDR family NAD_P_-dependent oxidoreductase ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831231.1,,,0,6,15,8,,29,70,41.42857143
WP_001831309.1 MULTISPECIES_ undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase _Staphylococcus_,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001831309.1,,,0,6,15,8,,29,70,41.42857143
WP_001832084.1 MULTISPECIES_ metal ABC transporter ATP-binding protein _Staphylococcus_,metal ABC transporter ATP-binding protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001832084.1,,,0,6,15,8,,29,70,41.42857143
WP_001832119.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001832119.1,,,0,6,15,8,,29,70,41.42857143
WP_001832606.1 MULTISPECIES_ acyltransferase _Staphylococcus_,acyltransferase ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_001832606.1,,,0,6,15,8,,29,70,41.42857143
WP_002437590.1 MULTISPECIES_ ABC transporter ATP-binding protein _Staphylococcus_,ABC transporter ATP-binding protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002437590.1,,,0,6,15,8,,29,70,41.42857143
WP_002438505.1 MULTISPECIES_ ATP-binding cassette domain-containing protein _Staphylococcus_,ATP-binding cassette domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002438505.1,,,0,6,15,8,,29,70,41.42857143
WP_002439621.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002439621.1,,,0,6,15,8,,29,70,41.42857143
WP_002440364.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002440364.1,,,0,6,15,8,,29,70,41.42857143
WP_002455958.1 MULTISPECIES_ L-lactate dehydrogenase _quinone_ _Staphylococcus_,L-lactate dehydrogenase ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002455958.1,,,0,6,15,8,,29,70,41.42857143
WP_002456453.1 MULTISPECIES_ YtxH domain-containing protein _Staphylococcus_,YtxH domain-containing protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_002456453.1,,,0,6,15,8,,29,70,41.42857143
WP_057504631.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_057504631.1,,,0,6,15,8,,29,70,41.42857143
WP_153647389.1 MULTISPECIES_ YqeG family HAD IIIA-type phosphatase _Staphylococcus_,YqeG family HAD IIIA-type phosphatase ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_153647389.1,,,0,6,15,8,,29,70,41.42857143
WP_256647372.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_256647372.1,,,0,6,15,8,,29,70,41.42857143
WP_353616739.1 MULTISPECIES_ SAR1012 family small protein _Staphylococcus_,SAR1012 family small protein ,OTHER,Globular protein,PredHel=0,Cytoplasmic Membrane,WP_353616739.1,,,0,6,15,8,,29,70,41.42857143
WP_001830497.1 MULTISPECIES_ osmoprotectant ABC transporter substrate-binding protein _Staphylococcus_,osmoprotectant ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001830497.1,WP_001830497.1,PF04069,20,6,6,8,0,40,100,40
WP_002438990.1 MULTISPECIES_ MetQ_NlpA family ABC transporter substrate-binding protein _Staphylococcus_,MetQ_NlpA family ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_002438990.1,WP_002438990.1,PF03180,20,6,6,8,0,40,100,40
WP_002467724.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=1,Extracellular,WP_002467724.1,,,0,6,6,16,,28,70,40
WP_002470137.1 MULTISPECIES_ osmoprotectant ABC transporter substrate-binding protein _Staphylococcus_,osmoprotectant ABC transporter substrate-binding protein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_002470137.1,WP_002470137.1,PF04069,20,6,6,8,0,40,100,40
WP_002485491.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=1,Extracellular,WP_002485491.1,,,0,6,6,16,,28,70,40
WP_002505142.1 MULTISPECIES_ tandem-type lipoprotein _Staphylococcus_,tandem-type lipoprotein ,LIPO,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_002505142.1,WP_002505142.1,PF04507,20,6,6,8,0,40,100,40
WP_049387528.1 hypothetical protein _Staphylococcus epidermidis_,WP_049387528.1 hypothetical protein ,OTHER,Globular protein,PredHel=1,Extracellular,WP_049387528.1,,,0,6,6,16,,28,70,40
WP_001830131.1 MULTISPECIES_ COX15_CtaA family protein _Staphylococcus_,COX15_CtaA family protein ,SP,Transmembrane protein,PredHel=8,Cytoplasmic Membrane,WP_001830131.1,,,16,3,0,8,,27,70,38.57142857
WP_002438011.1 MULTISPECIES_ sulfite exporter TauE_SafE family protein _Staphylococcus_,sulfite exporter TauE_SafE family protein ,SP,Transmembrane protein,PredHel=8,Cytoplasmic Membrane,WP_002438011.1,,,16,3,0,8,,27,70,38.57142857
WP_002456003.1 MULTISPECIES_ FecCD family ABC transporter permease _Staphylococcus_,FecCD family ABC transporter permease ,SP,Transmembrane protein,PredHel=8,Cytoplasmic Membrane,WP_002456003.1,,,16,3,0,8,,27,70,38.57142857
WP_002469436.1 MULTISPECIES_ phosphatase PAP2 family protein _Staphylococcus_,phosphatase PAP2 family protein ,SP,Transmembrane protein,PredHel=6,Cytoplasmic Membrane,WP_002469436.1,,,16,3,0,8,,27,70,38.57142857
WP_001829430.1 MULTISPECIES_ tubby C-terminal domain-like protein _Staphylococcus_,tubby C-terminal domain-like protein ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_001829430.1,,,0,3,15,8,,26,70,37.14285714
WP_001831644.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_001831644.1,,,0,3,15,8,,26,70,37.14285714
WP_001832033.1 MULTISPECIES_ auxiliary protein GraX_ApsX _Staphylococcus_,auxiliary protein GraX_ApsX ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_001832033.1,,,0,3,15,8,,26,70,37.14285714
WP_002437978.1 MULTISPECIES_ SE2200 family small protein _Bacillales_,SE2200 family small protein ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_002437978.1,,,0,3,15,8,,26,70,37.14285714
WP_002469356.1 MULTISPECIES_ energy-coupling factor transporter ATPase _Staphylococcus_,energy-coupling factor transporter ATPase ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_002469356.1,,,0,3,15,8,,26,70,37.14285714
WP_002489582.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_002489582.1,,,0,3,15,8,,26,70,37.14285714
WP_225973520.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Transmembrane protein,PredHel=0,Cytoplasmic Membrane,WP_225973520.1,,,0,3,15,8,,26,70,37.14285714
WP_000240855.1 MULTISPECIES_ 50S ribosomal protein L34 _Bacillati_,50S ribosomal protein L34 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_000240855.1,WP_000240855.1,PF00468,0,6,15,16,0,37,100,37
WP_001829330.1 MULTISPECIES_ hypothetical protein _Staphylococcus_,hypothetical protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829330.1,WP_001829330.1,PF19785,0,6,15,16,0,37,100,37
WP_001829582.1 MULTISPECIES_ class 1b ribonucleoside-diphosphate reductase subunit alpha _Staphylococcus_,class 1b ribonucleoside-diphosphate reductase subunit alpha ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829582.1,WP_001829582.1,PF00317;PF02867;PF08343,0,6,15,16,0,37,100,37
WP_001829703.1 MULTISPECIES_ 30S ribosomal protein S13 _Bacillales_,30S ribosomal protein S13 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829703.1,WP_001829703.1,PF00416,0,6,15,16,0,37,100,37
WP_001829709.1 MULTISPECIES_ 50S ribosomal protein L36 _Staphylococcus_,50S ribosomal protein L36 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829709.1,WP_001829709.1,PF00444,0,6,15,16,0,37,100,37
WP_001829713.1 MULTISPECIES_ type Z 30S ribosomal protein S14 _Bacteria_,type Z 30S ribosomal protein S14 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829713.1,WP_001829713.1,PF00253,0,6,15,16,0,37,100,37
WP_001829718.1 MULTISPECIES_ 50S ribosomal protein L17 _Staphylococcus_,50S ribosomal protein L17 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829718.1,WP_001829718.1,PF01196,0,6,15,16,0,37,100,37
WP_001829727.1 MULTISPECIES_ 50S ribosomal protein L3 _Staphylococcus_,50S ribosomal protein L3 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829727.1,WP_001829727.1,PF00297,0,6,15,16,0,37,100,37
WP_001829740.1 MULTISPECIES_ 50S ribosomal protein L6 _Bacillati_,50S ribosomal protein L6 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829740.1,WP_001829740.1,PF00347;PF00347,0,6,15,16,0,37,100,37
WP_001829747.1 MULTISPECIES_ 50S ribosomal protein L18 _Staphylococcus_,50S ribosomal protein L18 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829747.1,WP_001829747.1,PF00861,0,6,15,16,0,37,100,37
WP_001829768.1 MULTISPECIES_ 30S ribosomal protein S8 _Staphylococcus_,30S ribosomal protein S8 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829768.1,WP_001829768.1,PF00410,0,6,15,16,0,37,100,37
WP_001829775.1 MULTISPECIES_ 50S ribosomal protein L4 _Staphylococcus_,50S ribosomal protein L4 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829775.1,WP_001829775.1,PF00573,0,6,15,16,0,37,100,37
WP_001829778.1 MULTISPECIES_ 50S ribosomal protein L5 _Staphylococcus_,50S ribosomal protein L5 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829778.1,WP_001829778.1,PF00673;PF00281,0,6,15,16,0,37,100,37
WP_001829782.1 MULTISPECIES_ 50S ribosomal protein L16 _Bacillati_,50S ribosomal protein L16 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829782.1,WP_001829782.1,PF00252,0,6,15,16,0,37,100,37
WP_001829791.1 MULTISPECIES_ 30S ribosomal protein S3 _Staphylococcus_,30S ribosomal protein S3 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829791.1,WP_001829791.1,PF00189;PF07650,0,6,15,16,0,37,100,37
WP_001829796.1 MULTISPECIES_ 50S ribosomal protein L15 _Staphylococcus_,50S ribosomal protein L15 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001829796.1,WP_001829796.1,PF00828,0,6,15,16,0,37,100,37
WP_001830557.1 MULTISPECIES_ staphostatin A _Staphylococcus_,staphostatin A ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830557.1,WP_001830557.1,PF09022,0,6,15,16,0,37,100,37
WP_001830767.1 MULTISPECIES_ 50S ribosomal protein L35 _Staphylococcus_,50S ribosomal protein L35 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830767.1,WP_001830767.1,PF01632,0,6,15,16,0,37,100,37
WP_001830820.1 MULTISPECIES_ 50S ribosomal protein L21 _Bacteria_,50S ribosomal protein L21 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830820.1,WP_001830820.1,PF00829,0,6,15,16,0,37,100,37
WP_001830839.1 MULTISPECIES_ 50S ribosomal protein L20 _Staphylococcus_,50S ribosomal protein L20 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001830839.1,WP_001830839.1,PF00453,0,6,15,16,0,37,100,37
WP_001831297.1 MULTISPECIES_ prephenate dehydrogenase _Staphylococcus_,prephenate dehydrogenase ,SP,Globular protein,PredHel=0,Cytoplasmic,WP_001831297.1,WP_001831297.1,PF02153;PF20463;PF01842,16,6,15,0,0,37,100,37
WP_001831516.1 MULTISPECIES_ YbgA family protein _Staphylococcus_,YbgA family protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001831516.1,WP_001831516.1,PF08349,0,6,15,16,0,37,100,37
WP_001832285.1 MULTISPECIES_ 50S ribosomal protein L33 _Staphylococcus_,50S ribosomal protein L33 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001832285.1,WP_001832285.1,PF00471,0,6,15,16,0,37,100,37
WP_001832314.1 MULTISPECIES_ 50S ribosomal protein L1 _Staphylococcus_,50S ribosomal protein L1 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_001832314.1,WP_001832314.1,PF00687,0,6,15,16,0,37,100,37
WP_002437878.1 MULTISPECIES_ accessory Sec system protein Asp3 _Staphylococcus_,accessory Sec system protein Asp3 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002437878.1,WP_002437878.1,PF15432,0,6,15,16,0,37,100,37
WP_002438966.1 MULTISPECIES_ sterile alpha motif-like domain-containing protein _Bacilli_,sterile alpha motif-like domain-containing protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002438966.1,WP_002438966.1,PF06855,0,6,15,16,0,37,100,37
WP_002439708.1 MULTISPECIES_ regulatory protein MsaA _Bacillales_,regulatory protein MsaA ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002439708.1,WP_002439708.1,PF06279,0,6,15,16,0,37,100,37
WP_002456553.1 MULTISPECIES_ minor capsid protein _Bacillati_,minor capsid protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002456553.1,WP_002456553.1,PF04233,0,6,15,16,0,37,100,37
WP_002456835.1 MULTISPECIES_ pentapeptide repeat-containing protein _Staphylococcus_,pentapeptide repeat-containing protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002456835.1,WP_002456835.1,PF13599,0,6,15,16,0,37,100,37
WP_002457082.1 MULTISPECIES_ glycosyl hydrolase family 28-related protein _Staphylococcus_,glycosyl hydrolase family 28-related protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002457082.1,WP_002457082.1,PF12708,0,6,15,16,0,37,100,37
WP_002469355.1 MULTISPECIES_ 50S ribosomal protein L13 _Staphylococcus_,50S ribosomal protein L13 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002469355.1,WP_002469355.1,PF00572,0,6,15,16,0,37,100,37
WP_002485250.1 MULTISPECIES_ nitric oxide synthase oxygenase _Staphylococcus_,nitric oxide synthase oxygenase ,OTHER,Globular protein,PredHel=0,Extracellular,WP_002485250.1,WP_002485250.1,PF02898,0,6,15,16,0,37,100,37
WP_011274427.1 MULTISPECIES_ DUF2357 domain-containing protein _Staphylococcus_,DUF2357 domain-containing protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_011274427.1,WP_011274427.1,PF09823;PF04411,0,6,15,16,0,37,100,37
WP_054828570.1 50S ribosomal protein L19 _Staphylococcus epidermidis_,WP_054828570.1 50S ribosomal protein L19 ,OTHER,Globular protein,PredHel=0,Extracellular,WP_054828570.1,WP_054828570.1,PF01245,0,6,15,16,0,37,100,37
WP_057504645.1 MULTISPECIES_ MobA_MobL family protein _Staphylococcus_,MobA_MobL family protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_057504645.1,WP_057504645.1,PF03389,0,6,15,16,0,37,100,37
WP_078069838.1 MULTISPECIES_ McrB family protein _Staphylococcus_,McrB family protein ,OTHER,Globular protein,PredHel=0,Extracellular,WP_078069838.1,WP_078069838.1,PF07728,0,6,15,16,0,37,100,37
WP_079993579.1 MULTISPECIES_ C39 family peptidase _Staphylococcus_,C39 family peptidase ,OTHER,Globular protein,PredHel=0,Extracellular,WP_079993579.1,WP_079993579.1,PF13529,0,6,15,16,0,37,100,37
WP_087587975.1 MULTISPECIES_ phenol-soluble modulin PSM-delta _Staphylococcus_,phenol-soluble modulin PSM-delta ,OTHER,Globular protein,PredHel=0,Extracellular,WP_087587975.1,WP_087587975.1,PF19693,0,6,15,16,0,37,100,37
WP_001829925.1 MULTISPECIES_ CdaR family protein _Bacilli_,CdaR family protein ,SP,Globular protein,PredHel=1,Cytoplasmic Membrane,WP_001829925.1,WP_001829925.1,PF07949;PF07949;PF07949,16,6,6,8,0,36,100,36
WP_107362610.1 MULTISPECIES_ type I toxin-antitoxin system Fst family toxin _Bacillales_,type I toxin-antitoxin system Fst family toxin ,OTHER,Transmembrane protein,PredHel=1,Extracellular,WP_107362610.1,,,0,3,6,16,,25,70,35.71428571
WP_001830021.1 MULTISPECIES_ cyclic lactone autoinducer peptide AgrD _Staphylococcus_,cyclic lactone autoinducer peptide AgrD ,OTHER,Transmembrane protein,PredHel=0,Extracellular,WP_001830021.1,WP_001830021.1,PF05931,0,3,15,16,0,34,100,34
WP_001830076.1 MULTISPECIES_ beta-class phenol-soluble modulin _Staphylococcus_,beta-class phenol-soluble modulin ,OTHER,Transmembrane protein,PredHel=0,Extracellular,WP_001830076.1,WP_001830076.1,PF05480,0,3,15,16,0,34,100,34
